job_title,subfunctions,functions
systems integration engineer,engineering-unknown,engineering
european sales manager,sales-unknown,sales
analytics manager   growth,bi / business information,analytics
"director, regional general manager",general/regional manager,commercial management
senior manager ai engineer,engineering-unknown,engineering
ibm applied data science capstone project,data science,analytics
junior mobile engineer,mobile,engineering
recruitment sourcing specialist,recruiting-unknown,recruiting
"registration specialist, i",account management,customer success
senior data scientist   causal inference research,data science,analytics
publishing partnerships and vip sessions at quora,business development-unknown,sales
group head of search and content,content,marketing
senior executive l sales manager,sales-unknown,sales
global communications and content manager,content,marketing
senior director of product   creative,product-unknown,product
senior legal counsel latam,legal-unknown,legal
"attorney, business affairs lead",operations-unknown,operations
treasury analyst accounts receivable and uy,fp&a/accounting,finance
graduate data scientist,data science,analytics
sales sourcer,recruiting-unknown,recruiting
"head of human resources, united states",HR-unknown,HR
uk enterprise business development,field sales,sales
regional user growth manager,marketing-unknown,marketing
drive operations associate,market/site ops,operations
"human resources generalist, emea",HR-unknown,HR
senior manager business intelligence,bi / business information,analytics
wedding crafter,operations-unknown,operations
"general manager, luxury division",general,general management
team and partner enablement manager,product-unknown,product
junior editor,photography & text editing,operations
accounting coordinator team lead,fp&a/accounting,finance
account executive sales manager,account management,customer success
international payment specialist,operations-unknown,operations
customer experience   cx user end,customer support,support
director of studio relations,administration-unknown,administration
conflict resolutions specialist,administration-unknown,administration
regional sales manager southwest,field sales,sales
core account executive   north america,account management,customer success
qa analyst ii,qa/testing,engineering
team lead api and wms teams,administration-unknown,administration
"head of engineer, fintech",engineering-unknown,engineering
senior sales manager package holidays,sales-unknown,sales
"human resources business partner, apac",HR-unknown,HR
senior product developer,full-stack,engineering
javascript and angularjs developer,full-stack,engineering
"manager, partner management and seller relations",customer success-unknown,customer success
crop marketing and financial services,marketing-unknown,marketing
"director, people bp for engineer and product",engineering-unknown,engineering
"project manager, enterprise customer success",account management,customer success
senior community growth specialist,community & social,marketing
digital delivery manager,operations-unknown,operations
office manager and pa to general manager,general,general management
"junior software engineer, front end, e commerce platform",full-stack,engineering
"marketplace+ associate, project manager",mobile,engineering
head of finance technology,fp&a/accounting,finance
associate it support analyst,customer support,support
human resources office manager,HR-unknown,HR
marketing communications coordinator,comms & pr,marketing
"senior field marketing manager, partners",marketing-unknown,marketing
manager of events and experiences,events,marketing
founder and executive vice president global acquiring and processing adyen,market/site ops,operations
"lead core data engineer at whoop, inc",engineering-unknown,engineering
growth and new people experience   senior mobile engineer,mobile,engineering
social media and community associate,community & social,marketing
data science relevance,data science,analytics
software development engineer   social,engineering-unknown,engineering
country manager india   myprotein,general/regional manager,commercial management
"head of consumer comms, australia",customer success-unknown,customer success
marketing sales coordinator,marketing-unknown,marketing
senior financial crime operations analyst,operations-unknown,operations
"senior project manager, global brand studio",mobile,engineering
options support team lead,customer support,support
"business manager, south europe",administration-unknown,administration
account junior,operations-unknown,operations
lead full stack developer,full-stack,engineering
human resources ops specialist,HR-unknown,HR
"director, marketing operations and insights",marketing-unknown,marketing
"account executive  named accounts, enterprise",account management,customer success
software engineer [t5,full-stack,engineering
customer relations agent,customer support,support
senior analytical engineer,engineering-unknown,engineering
"field organizer | fort worth, tx",customer support,support
field scout and photographer,operations-unknown,operations
director of partner growth,growth marketing,marketing
commercial sales development representative benelux and nordics,sdr/bdr,sales
engagement team member,sales-unknown,sales
sre ii,engineering-unknown,engineering
technicien de laboratoire photographique,operations-unknown,operations
"officer, trust and risk",administration-unknown,administration
"manager, security",security & privacy,engineering
business development manager and api partner manager,sdr/bdr,sales
listing coordinator,sales-unknown,sales
cybersecurity inside sales representative,inside sales,sales
head of integrated marketing,marketing-unknown,marketing
"supervisor, marketing analytics",marketing,analytics
trust and safety manager   reactive,"community admin, trust & safety",operations
administrateur systeme linux,it,administration
"corporate sl, training lead, events lead",events,marketing
ad sales account director,account management,customer success
"head of engineer, search product",engineering-unknown,engineering
