functions,subfunctions
unknown,unknown-unknown
finance,fp&a/accounting
engineering,full-stack
customer success,professional services
retail,manufacturing/production
engineering,engineering-unknown
operations,operations-unknown
design,visual/graphic
sales,business development-unknown
marketing,content
administration,administration/facilities
marketing,community & social
marketing,brand
marketing,marketing-unknown
support,customer support
retail,procurement/buying
engineering,mobile
product,product-unknown
administration,administration-unknown
sales,sdr/bdr
design,design-unknown
general management,corporate development/strategy
engineering,hardware
design,ux/product
HR,HR-unknown
support,technical support
administration,it
sales,field sales
engineering,qa/testing
sales,sales-unknown
marketing,comms & pr
sales,sales ops
operations,photography & text editing
commercial management,general/regional manager
general management,ceo
customer success,customer success-unknown
analytics,bi / business information
general management,bizops/coo
finance,strategic finance
operations,market/site ops
customer success,account management
analytics,analytics-unknown
sales,sales engineering
marketing,performance marketing
retail,distribution/fulfilment/supply chain
engineering,backend
marketing,growth marketing
engineering,devops/techops
retail,front line / retail assistant
operations,"community admin, trust & safety"
recruiting,recruiting-unknown
general management,general
legal,legal-unknown
operations,"professional specialists (doctors, opticians, nurses, etc)"
general management,general management-unknown
marketing,product marketing
engineering,security & privacy
engineering,frontend
retail,merchandising
customer success,training
analytics,data science
sales,inside sales
marketing,events
operations,"payments & compliance (kyc, aml, fraud, billing, etc)"
finance,finance-unknown
analytics,product
analytics,marketing
engineering,data engineering
HR,l&d/talent management
HR,comp & ben
engineering,ai/ml
marketing,policy / public affairs
marketing,developer relations
