job_title,func_parent,functions,subfunctions
chief architect,Technical,engineering,engineering-unknown
founding engineer,Technical,engineering,engineering-unknown
chief technology officer,Technical,engineering,engineering-unknown
design manager,Technical,design,design-unknown
design lead,Technical,design,design-unknown
director new product development,Technical,product,product-unknown
design specialist,Technical,design,design-unknown
senior gis engineer and operations optimization executive,Technical,engineering,engineering-unknown
"technical director and chief architect, web engineer",Technical,engineering,engineering-unknown
co founder,Technical,engineering,engineering-unknown
engineer manager,Technical,engineering,engineering-unknown
senior salesforce solution analyst,Technical,analytics,analytics-unknown
engineer,Technical,engineering,engineering-unknown
vice president product and engineer,Technical,engineering,engineering-unknown
senior mathematical analyst,Technical,analytics,analytics-unknown
illustrator and animated filmmaker,Technical,design,design-unknown
product manager,Technical,product,product-unknown
web application engineer,Technical,engineering,engineering-unknown
director of product   physical stores,Technical,product,product-unknown
co founder and head of product,Technical,product,product-unknown
senior director of design,Technical,design,design-unknown
"full stack developer, chief technology officer",Technical,engineering,engineering-unknown
techinical director,Technical,engineering,engineering-unknown
programmer,Technical,engineering,engineering-unknown
chief technology officer at olo,Technical,engineering,engineering-unknown
interior styling and design,Technical,design,design-unknown
brand strategist | creative director,Technical,design,design-unknown
creative director,Technical,design,design-unknown
engineer team lead,Technical,engineering,engineering-unknown
creative lead,Technical,design,design-unknown
chief technology officer and co founder,Technical,engineering,engineering-unknown
vice president of engineer,Technical,engineering,engineering-unknown
"engineer manager, backend web",Technical,engineering,engineering-unknown
head of design,Technical,design,design-unknown
head of data and analytics,Technical,analytics,analytics-unknown
product creator,Technical,product,product-unknown
cofounder and director of engineer,Technical,engineering,engineering-unknown
data capture specialist,Technical,analytics,analytics-unknown
"user operations, product planning, feature definition",Technical,product,product-unknown
success engineer,Technical,engineering,engineering-unknown
product manager and owner,Technical,product,product-unknown
design director,Technical,design,design-unknown
software development engineer,Technical,engineering,engineering-unknown
lead engineer and co founder,Technical,engineering,engineering-unknown
director of product,Technical,product,product-unknown
"chief technology officer, developer",Technical,engineering,engineering-unknown
special projects,Technical,product,product-unknown
service engineer,Technical,engineering,engineering-unknown
researcher,Technical,analytics,analytics-unknown
research engineer,Technical,engineering,engineering-unknown
iphone and flash game programmer,Technical,engineering,engineering-unknown
product development specialist,Technical,product,product-unknown
senior engineer manager,Technical,engineering,engineering-unknown
principal engineer,Technical,engineering,engineering-unknown
head of engineer,Technical,engineering,engineering-unknown
senior data engineer,Technical,engineering,engineering-unknown
director engineer   user interface and api,Technical,engineering,engineering-unknown
engineer lead,Technical,engineering,engineering-unknown
head of data analytics,Technical,analytics,analytics-unknown
chief product officer,Technical,product,product-unknown
senior engineer,Technical,engineering,engineering-unknown
director of product and operations,Technical,product,product-unknown
co founder and chief technology officer,Technical,engineering,engineering-unknown
"employee #3, director of engineer",Technical,engineering,engineering-unknown
konsulttjanster med tech startup,Technical,engineering,engineering-unknown
"technical designer and designer, product development",Technical,product,product-unknown
"engineer manager, android",Technical,engineering,engineering-unknown
head of product,Technical,product,product-unknown
"product designer, creative director",Technical,design,design-unknown
chief operations officer,Technical,product,product-unknown
product @ cazoo,Technical,product,product-unknown
founding team and head of product,Technical,product,product-unknown
data platform architect,Technical,analytics,analytics-unknown
creative director and user experience lead,Technical,design,design-unknown
"senior product development manager   skincare, haircare, bodycare",Technical,engineering,engineering-unknown
founding engineer and manager,Technical,engineering,engineering-unknown
directeur data and digital,Technical,analytics,analytics-unknown
senior graphics engineer,Technical,engineering,engineering-unknown
co head of product,Technical,product,product-unknown
head of software development,Technical,engineering,engineering-unknown
marketing and product director,Technical,product,product-unknown
co founder and software lead,Technical,engineering,engineering-unknown
programador nivel 3,Technical,engineering,engineering-unknown
creatief directeur,Technical,design,design-unknown
sortware engineer,Technical,engineering,engineering-unknown
director of engineer,Technical,engineering,engineering-unknown
design production and screen printing,Technical,design,design-unknown
senior product manager,Technical,product,product-unknown
vice president engineer,Technical,engineering,engineering-unknown
engineer director,Technical,engineering,engineering-unknown
team lead engineer,Technical,engineering,engineering-unknown
vice president of product management,Technical,product,product-unknown
founding engineer and head of product engineer,Technical,engineering,engineering-unknown
director of design,Technical,design,design-unknown
"vice president, product teams",Technical,product,product-unknown
chief creative officer and creator user interface and user experience and branding,Technical,design,design-unknown
project development manager,Technical,engineering,engineering-unknown
frontend lead,Technical,engineering,engineering-unknown
acting chief technology officer,Technical,engineering,engineering-unknown
application engineer,Technical,engineering,engineering-unknown
customer development manager,Technical,engineering,engineering-unknown
distributed systems engineer,Technical,engineering,engineering-unknown
interim chief technology officer,Technical,engineering,engineering-unknown
men department product manager,Technical,product,product-unknown
director of web services,Technical,engineering,engineering-unknown
research and development engineer,Technical,engineering,engineering-unknown
graphic and web design,Technical,design,design-unknown
technical director,Technical,engineering,engineering-unknown
"group product manager, brand",Technical,product,product-unknown
"director, engineer",Technical,engineering,engineering-unknown
senior product specialist and technical lead,Technical,engineering,engineering-unknown
technical project manager   ecommerce,Technical,product,product-unknown
"lead engineer at built technologies, inc",Technical,engineering,engineering-unknown
senior mechanical design engineer,Technical,engineering,engineering-unknown
tech lead and backend guru,Technical,engineering,engineering-unknown
"employee #1, director of engineer",Technical,engineering,engineering-unknown
director of customer acquisition and analytics at daily harvest,Technical,analytics,analytics-unknown
product owner and team lead online acquisition,Technical,product,product-unknown
product development manager at allbirds,Technical,engineering,engineering-unknown
"vice president, product",Technical,product,product-unknown
ingenieur,Technical,engineering,engineering-unknown
vice president development,Technical,engineering,engineering-unknown
frontend design and engineer lead,Technical,engineering,engineering-unknown
director of product development,Technical,product,product-unknown
technical team lead,Technical,engineering,engineering-unknown
vice president of product development,Technical,product,product-unknown
data migration specialist,Technical,analytics,analytics-unknown
programador web,Technical,engineering,engineering-unknown
head of customer intelligence and analytics,Technical,analytics,analytics-unknown
vice president of product,Technical,product,product-unknown
head of product operations,Technical,product,product-unknown
product director,Technical,product,product-unknown
member of the technical staff at cockroach labs,Technical,engineering,engineering-unknown
"chief technology officer at built technologies, inc",Technical,engineering,engineering-unknown
strategy and marketing product manager,Technical,product,product-unknown
director product management,Technical,product,product-unknown
head of product development production and sourcing,Technical,product,product-unknown
product operations manager,Technical,product,product-unknown
audio engineer,Technical,engineering,engineering-unknown
"copywriter, creative lead and social media coordinator",Technical,design,design-unknown
product associate,Technical,product,product-unknown
systems engineer,Technical,engineering,engineering-unknown
ingeniero en control de gestion,Technical,engineering,engineering-unknown
product development director,Technical,product,product-unknown
applications engineer,Technical,engineering,engineering-unknown
product and founding team member,Technical,product,product-unknown
head of data and ai,Technical,analytics,analytics-unknown
data specialist,Technical,analytics,analytics-unknown
product lead,Technical,product,product-unknown
senior application engineer,Technical,engineering,engineering-unknown
"founding engineer, rubrik",Technical,engineering,engineering-unknown
"engineer director, fulfillment",Technical,engineering,engineering-unknown
programmer analyst,Technical,engineering,engineering-unknown
assistant new product development manager,Technical,engineering,engineering-unknown
vice president product and head of design,Technical,product,product-unknown
programmer extraordinaire,Technical,engineering,engineering-unknown
programador,Technical,engineering,engineering-unknown
product development and mechanical engineer,Technical,product,product-unknown
game programmer,Technical,engineering,engineering-unknown
"vice president, product development",Technical,product,product-unknown
"founding engineer at rubrik, inc",Technical,engineering,engineering-unknown
technical architect,Technical,engineering,engineering-unknown
vice president design,Technical,design,design-unknown
development + design,Technical,design,design-unknown
senior development ops engineer,Technical,engineering,engineering-unknown
head of collaborations and special projects,Technical,product,product-unknown
head of product management,Technical,product,product-unknown
director of product management,Technical,product,product-unknown
senior vice president of engineer,Technical,engineering,engineering-unknown
head of data,Technical,analytics,analytics-unknown
senior test analyst,Technical,analytics,analytics-unknown
senior graphic design,Technical,design,design-unknown
senior database administrator and systems engineer,Technical,engineering,engineering-unknown
"director of engineer, subscriptions",Technical,engineering,engineering-unknown
principal embedded engineer,Technical,engineering,engineering-unknown
acquisition analyst and manager,Technical,analytics,analytics-unknown
lead engineer,Technical,engineering,engineering-unknown
lead product manager,Technical,product,product-unknown
programador and maquetador web en new goat sl,Technical,engineering,engineering-unknown
scrum master,Technical,engineering,engineering-unknown
product,Technical,product,product-unknown
"vice president, product management and product design",Technical,product,product-unknown
digital product + design,Technical,product,product-unknown
director of analytics,Technical,analytics,analytics-unknown
founding engineer at rubrik,Technical,engineering,engineering-unknown
head of design at hipcamp,Technical,design,design-unknown
full stack magician,Technical,engineering,engineering-unknown
engineer #1,Technical,engineering,engineering-unknown
staff engineer,Technical,engineering,engineering-unknown
software engineer team lead,Technical,engineering,engineering-unknown
data import engineer,Technical,engineering,engineering-unknown
product specialist,Technical,product,product-unknown
"director, product management",Technical,product,product-unknown
design,Technical,design,design-unknown
"vice president, products",Technical,product,product-unknown
product manager for portuguese,Technical,product,product-unknown
mobile engineer team lead,Technical,engineering,engineering-unknown
system engineer,Technical,engineering,engineering-unknown
product assortment founding team member,Technical,product,product-unknown
grafisk designpraktikant,Technical,design,design-unknown
senior director product management and design,Technical,product,product-unknown
lead software development engineer,Technical,engineering,engineering-unknown
reseach analyst,Technical,analytics,analytics-unknown
product development manager,Technical,engineering,engineering-unknown
"vice president product, insights",Technical,product,product-unknown
technicienne de developpement startup specialisee en produits capillaires personnalises,Technical,engineering,engineering-unknown
technical fellow,Technical,engineering,engineering-unknown
network product manager,Technical,product,product-unknown
people development manager chez blablacar,Technical,engineering,engineering-unknown
data analytics,Technical,analytics,analytics-unknown
"product manager, content and research",Technical,product,product-unknown
international chief software integration engineer,Technical,engineering,engineering-unknown
"product manager, head of clinical content",Technical,product,product-unknown
"senior manager, engineer",Technical,engineering,engineering-unknown
3 yearsin realestate and constructio and 4 years in engineer,Technical,engineering,engineering-unknown
chief creative officer,Technical,design,design-unknown
principal engineer @ sre,Technical,engineering,engineering-unknown
platform team,Technical,engineering,engineering-unknown
restaurant development manager,Technical,engineering,engineering-unknown
member of technical staff,Technical,engineering,engineering-unknown
"producer, product lead, project lead, head of player support, special projects",Technical,product,product-unknown
engineer manager and head of mobile engineering,Technical,engineering,engineering-unknown
javascript engineer,Technical,engineering,engineering-unknown
senior service engineer,Technical,engineering,engineering-unknown
software integration engineer,Technical,engineering,engineering-unknown
founder and vice president of engineer,Technical,engineering,engineering-unknown
analista programador senior j2ee,Technical,engineering,engineering-unknown
head of vision and nlp engineer,Technical,engineering,engineering-unknown
